"投稿内容","投稿回数","","",""
"","0","","","学びを止めた者は、成長も止まる。 - モーリス・センダック"
"","0","","","未来を予測する最良の方法は、それを創り出すことである。 - ピーター・ドラッカー"
"","0","","","あきらめないことが成功への近道である。 - マイケル・ジョーダン"
"","0","","","痛みは一時的だが、栄光は永遠に続く。 - ランス・アームストロング"
"","0","","","自分にできないことを他人にも期待するな。 - コンフィシウス"
"","0","","","人生において重要なことは、何が起こるかではなく、どのように反応するかである。 - ジョン・C・マクスウェル"
"","0","","","失敗は成功のもとである。 - ヘレン・ケラー"
"","0","","","失敗とはやり直す機会を与えてくれるものである。 - ヘンリー・フォード"
"","0","","","人生は一度きりである。何ができるかをやってみるべきだ。 - アメリア・イアハート"
"","0","","","人生で起こることはすべて、あなた自身が創り出したものである。 - ブライアン・トレーシー"
"","0","","","知識は力なり。 - フランシス・ベーコン"
"","0","","","人生とは、成功するために必要な力を持っているような時に終わるものではない。 - ヘレン・ケラー"
"","0","","","成功は、あなたが望むものを得ることではなく、あなたがなりたい人物になることである。 - ジム・ローン"
"","0","","","時間はあなたが与えられた最高のギフトである。 - エリザベス・ギルバート"
"","0","","","苦労は報われる。 - アエスキュロス"
"","0","","","失敗は成功の母である。 - ラルフ・ワルド・エマーソン"
"","0","","","常に前向きに考えよう。失敗を恐れるよりも成功を望もう。 - ヘレン・グォック"
"","0","","","真実を知りたければ、あなたは自分自身を知る必要がある。 - ハンス・マーシャル"
"","0","","","夢は現実の先駆けである。 - アリストテレス"
"","0","","","あなたが行く道が光でいっぱいであるように。 - ラルフ・ワルド・エマーソン"
"","0","","","過去の教訓は、未来の成功のための最良の指南書である。 - ジョージ・サンタヤーナ"
"","0","","","成功への道は、他人を幸せにすることにある。 - デール・カーネギー"
"","0","","","あなたが決めたことをやり通すことが、成功の秘訣である。 - トム・ウォーターマン"
"","0","","","最高の成功は、他人を幸せにすることである。 - ハリエット・アームストロング・モリソン"
"","0","","","人生で重要なのは、与えることである。与えることができる人こそ、人生で最も豊かな人である。 - バーナード・M・バラック"
"","0","","","勝者になるには、あなたができることをすることが必要である。 - トム・ランドリー"
"","0","","","成功とは、前に進むことであり、自分がしたいことをやり抜くことである。 - ニック・ヴジッチ"
"","0","","","もっと笑い、もっと愛し、もっと善行を行いなさい。 - ボブ・マーリー"
"","0","","","夢中になれるものがあると人生はうまくいく。 - ベティ・ホワイト"
"","0","","","障害は人生における方向転換の機会である。 - オプラ・ウィンフリー"
"","0","","","成功は最高の復讐である。 - フランク・シナトラ"
"","0","","","時間がすべてを癒すとは言わない。時間がただ過ぎ去るだけである。 - ロッド・スターリング"
"","0","","","自分自身にとって最高の友達であるためには、まず自分を許すことから始めなければならない。 - ルイス・ヘイン"
"","0","","","昨日は歴史、明日は謎、そして今日は贈り物。それゆえ、今日をプレゼントと呼ぶ。 - エレノア・ルーズベルト"
"","0","","","未来を変えたければ、過去を変えることから始めなさい。 - クリストファー・パオリーニ"
"","0","","","信じることができることを信じ、自分自身を信じなさい。 - ヴァージニア・サティル"
"","0","","","問題は機会であり、挑戦である。 - ヘンリー・J・カイザー"
"","0","","","人生は課題であり、それに立ち向かうために生きているのだ。 - ロバート・マクナマラ"
"","0","","","夢中になれるものがあると、人生はとても楽しくなる。 - ベッカム"
"","0","","","学問は人生を豊かにする。 - ベッカム"
"","0","","","自分が出来ると思っていることと、出来ると思っていないこととの違いは、たいてい行動を起こすか否かです。 - ウィリアム・ジェームズ"
"","0","","","成功するために必要なのは、夢と目標を持つことです。 - ジム・バリー"
"","0","","","人生とは、やりたいことをやって、失敗して、また挑戦し続けることです。 - ウィリアム・サマーセット・モーム"
"","0","","","自分が最も恐れているものに立ち向かいなさい。その恐怖が消えると、自由が手に入るのです。 - マリリン・モンロー"
"","0","","","難しいことを簡単にするのが天才、簡単なことを難しくするのが愚か者である。 - シェイクスピア"
"","0","","","人生で達成するべき夢があるなら、それを追いかけてください。私は実現することができました。 - マイケル・ジョーダン"
"","0","","","全ての人には、自分にしかできない使命がある。その使命を果たすために生まれてきたのです。 - オプラ・ウィンフリー"
"","0","","","常に目標に向かって前進しましょう - コンフューシャス"
"","0","","","自分の言葉を守ることが、一番難しいことである - ドストエフスキー"
"","0","","","我思う、故に我在り - デカルト"
"","0","","","夢中になれるものがあると、人生はちょっと違って見える - ビル・ゲイツ"
"","0","","","一つの目標に向かって一歩ずつ進むことが、最も大切なことである - アリ"
"","0","","","失敗から学べることは、成功からは学べない - ココ・シャネル"
"","0","","","苦しいときこそ笑顔を忘れないで。それが勇気と希望を与えてくれるから - ルイ・アームストロング"
"","0","","","学び続けることが、人生を豊かにする - ジョン・フィッツジェラルド・ケネディ"
